model,fs_method,k,accuracy,fmeasure,precision,recall,roc
nb,chi,35,0.6384436701509872,0.6261370835765627,0.6569831115929374,0.6384436701509872,0.7510900769710839
knn,chi,35,0.635075493612079,0.6348079685653201,0.643450234088064,0.635075493612079,0.684419076346994
rf,chi,35,0.6782810685249709,0.6726250289442477,0.699883025167719,0.6782810685249709,0.7702199916788017
dt,chi,35,0.6301974448315911,0.6249021633289926,0.6459798411593374,0.6301974448315911,0.63289785729145
lr,rfc,35,0.6635307781649245,0.6587646142120744,0.6750291950998374,0.6635307781649245,0.7512929061784897
nb,rfc,35,0.6289198606271775,0.6227575001506831,0.6516205094316954,0.6289198606271775,0.7365123777824006
knn,rfc,35,0.5670150987224158,0.5635438708532859,0.5726847703851188,0.5670150987224158,0.6244643228624923
rf,rfc,35,0.7024390243902439,0.6953563123807752,0.7319759991348824,0.7024390243902439,0.787548366964843
dt,rfc,35,0.6119628339140535,0.6025434221270266,0.6425215092827702,0.6119628339140535,0.609566257541086
lr,ulap,35,0.6299651567944251,0.6244342791338547,0.640038006250981,0.6299651567944251,0.6995943415851882
nb,ulap,35,0.5713124274099884,0.5659657120208987,0.5817745908307945,0.5713124274099884,0.6521583107967548
knn,ulap,35,0.5135888501742161,0.5138808922217886,0.5154745431840608,0.5135888501742161,0.5530148741418764
rf,ulap,35,0.6692218350754935,0.6581409489518348,0.691140204557065,0.6692218350754935,0.720004680674017
dt,ulap,35,0.573054587688734,0.5670064941474863,0.5828948489006776,0.573054587688734,0.5790108175577282
lr,uilap,35,0.6159117305458769,0.6118782410841401,0.6220847278020879,0.6159117305458769,0.7025764510089453
nb,uilap,35,0.5663182346109176,0.5632621763648423,0.5757390279882674,0.5663182346109176,0.6529467443311836
knn,uilap,35,0.5088269454123113,0.5088728628150069,0.511824683545316,0.5088269454123113,0.5460838360723945
rf,uilap,35,0.6693379790940767,0.662445968560546,0.6882893703940755,0.6693379790940767,0.7454498647805284
dt,uilap,35,0.5828106852497096,0.5775264438398451,0.592038512966162,0.5828106852497096,0.589339504888704
lr,ucos,35,0.6400696864111498,0.6386089584238102,0.6506978516462016,0.6400696864111498,0.702297690867485
nb,ucos,35,0.5852497096399536,0.5834571194128766,0.5976811368259901,0.5852497096399536,0.6687195756188892
knn,ucos,35,0.4939605110336818,0.4937874377465983,0.49760664750074246,0.4939605110336818,0.5366517578531308
rf,ucos,35,0.6304297328687573,0.6239485594443298,0.6428536042412102,0.6304297328687573,0.7141611192011649
dt,ucos,35,0.572822299651568,0.5685816121719938,0.5936451680633185,0.572822299651568,0.5798595797794881
lr,upcorr,35,0.5763066202090592,0.5700906027985396,0.5997925023668004,0.5763066202090592,0.6564998959850218
nb,upcorr,35,0.6139372822299651,0.583827451741445,0.6444707982560686,0.6139372822299651,0.6632286249219888
knn,upcorr,35,0.5476190476190477,0.5429811985251003,0.5471291445681689,0.5476190476190477,0.5539692115664656
rf,upcorr,35,0.6048780487804878,0.603224129552756,0.61487223192531,0.6048780487804878,0.6896957561888912
dt,upcorr,35,0.5957026713124274,0.5922570609735955,0.6005594232272855,0.5957026713124274,0.5946723528188059
lr,ufrufs,35,0.6444831591173055,0.6395617197985516,0.6551130341271764,0.6444831591173055,0.7158446016226336
nb,ufrufs,35,0.6049941927990709,0.5957887026154416,0.6308419194235959,0.6049941927990709,0.7080590805075933
knn,ufrufs,35,0.5572590011614402,0.5540045843590938,0.559377147481882,0.5572590011614402,0.5755596005824839
rf,ufrufs,35,0.6830429732868757,0.678560428897322,0.6933497427668398,0.6830429732868757,0.7602210318285834
dt,ufrufs,35,0.5734030197444832,0.5608584331258284,0.5897894839288285,0.5734030197444832,0.5700686498855836
lr,corr,36,0.6681765389082461,0.6662808522371495,0.6815990454968729,0.6681765389082461,0.7612741834824215
nb,corr,36,0.6383275261324042,0.6275340303001817,0.6577061333831729,0.6383275261324042,0.7543020594965675
knn,corr,36,0.6252032520325204,0.6244028292128123,0.63630522123099,0.6252032520325204,0.6754883503224464
rf,corr,36,0.6682926829268293,0.6643922720630038,0.6811067422280237,0.6682926829268293,0.7633591637195756
dt,corr,36,0.659233449477352,0.6510233572146504,0.6893779209378752,0.659233449477352,0.6625150821718327
lr,tree,36,0.6876887340301974,0.6818340827564744,0.7063704195729648,0.6876887340301974,0.7540940295402538
nb,tree,36,0.6336817653890825,0.6254123033217824,0.6505316401643911,0.6336817653890825,0.7568057000208029
